term,tier,category
antalgic,2,clinical_term
autoimmune,2,clinical_term
chemo,2,clinical_term
clotting,2,clinical_term
coronavirus,2,clinical_term
cortico,2,clinical_term
corticosteroid,2,clinical_term
corticosteroids,2,clinical_term
debridement,2,clinical_term
drusen,2,clinical_term
echocardiogram,2,clinical_term
epicondylitis,2,clinical_term
followup,2,clinical_term
gallbladder,2,clinical_term
hyperlipidemia,2,clinical_term
immobilizer,2,clinical_term
lachman,2,clinical_term
lipid,2,clinical_term
lisfranc,2,clinical_term
lumpectomy,2,clinical_term
mammogram,2,clinical_term
mcmurray,2,clinical_term
mellitus,2,clinical_term
midfoot,2,clinical_term
midline,2,clinical_term
musculoskeletal,2,clinical_term
neovascular,2,clinical_term
neurologic,2,clinical_term
nonhealing,2,clinical_term
nonpitting,2,clinical_term
nontender,2,clinical_term
nsaid,2,clinical_term
nsaids,2,clinical_term
opioids,2,clinical_term
paraspinal,2,clinical_term
pedis,2,clinical_term
radiculopathy,2,clinical_term
rehab,2,clinical_term
rheumatological,2,clinical_term
rhonchi,2,clinical_term
satting,2,clinical_term
statin,2,clinical_term
steroid,2,clinical_term
steroids,2,clinical_term
strep,2,clinical_term
tendinopathy,2,clinical_term
ultrasound,2,clinical_term
weightbearing,2,clinical_term
workup,2,clinical_term
adapalene,3,drug_dosage
advil,3,drug_dosage
alavert,3,drug_dosage
albuterol,3,drug_dosage
aldactone,3,drug_dosage
aldosterone,3,drug_dosage
aleve,3,drug_dosage
allopurinol,3,drug_dosage
alvesco,3,drug_dosage
amlodipine,3,drug_dosage
amoxicillin,3,drug_dosage
atenolol,3,drug_dosage
atorvastatin,3,drug_dosage
atrovent,3,drug_dosage
augmentin,3,drug_dosage
benicar,3,drug_dosage
bentyl,3,drug_dosage
betamethasone,3,drug_dosage
biofreeze,3,drug_dosage
brilinta,3,drug_dosage
bumex,3,drug_dosage
buspar,3,drug_dosage
carafate,3,drug_dosage
cardura,3,drug_dosage
carvedilol,3,drug_dosage
celebrex,3,drug_dosage
chlorothiazide,3,drug_dosage
chlorthalidone,3,drug_dosage
cialis,3,drug_dosage
cisplatin,3,drug_dosage
citrucel,3,drug_dosage
claritin,3,drug_dosage
clindamycin,3,drug_dosage
clobetasol,3,drug_dosage
clopidogrel,3,drug_dosage
collagenase,3,drug_dosage
combivent,3,drug_dosage
coreg,3,drug_dosage
coumadin,3,drug_dosage
cozaar,3,drug_dosage
crestor,3,drug_dosage
dexamethasone,3,drug_dosage
digoxin,3,drug_dosage
doxycycline,3,drug_dosage
effexor,3,drug_dosage
elavil,3,drug_dosage
elidel,3,drug_dosage
eliquis,3,drug_dosage
epiduo,3,drug_dosage
epipen,3,drug_dosage
eucrisa,3,drug_dosage
excedrin,3,drug_dosage
farxiga,3,drug_dosage
fentanyl,3,drug_dosage
finasteride,3,drug_dosage
flexeril,3,drug_dosage
flomax,3,drug_dosage
flonase,3,drug_dosage
flovent,3,drug_dosage
fluocinonide,3,drug_dosage
folate,3,drug_dosage
fosamax,3,drug_dosage
furosemide,3,drug_dosage
gabapentin,3,drug_dosage
glimepiride,3,drug_dosage
guaifenesin,3,drug_dosage
hydrochlorothiazide,3,drug_dosage
ibuprofen,3,drug_dosage
imitrex,3,drug_dosage
jardiance,3,drug_dosage
keflex,3,drug_dosage
keppra,3,drug_dosage
lactulose,3,drug_dosage
lantus,3,drug_dosage
lasix,3,drug_dosage
levothyroxine,3,drug_dosage
lexapro,3,drug_dosage
lidocaine,3,drug_dosage
lipitor,3,drug_dosage
lisinopril,3,drug_dosage
meclizine,3,drug_dosage
melatonin,3,drug_dosage
meloxicam,3,drug_dosage
metformin,3,drug_dosage
methotrexate,3,drug_dosage
methylprednisolone,3,drug_dosage
metoprolol,3,drug_dosage
miralax,3,drug_dosage
mobic,3,drug_dosage
motrin,3,drug_dosage
naltrexone,3,drug_dosage
naprosyn,3,drug_dosage
neurontin,3,drug_dosage
nexium,3,drug_dosage
nizoral,3,drug_dosage
norvasc,3,drug_dosage
olmesartan,3,drug_dosage
omeprazole,3,drug_dosage
oxycodone,3,drug_dosage
pepcid,3,drug_dosage
percocet,3,drug_dosage
phexxi,3,drug_dosage
plavix,3,drug_dosage
prednisone,3,drug_dosage
prilosec,3,drug_dosage
propranolol,3,drug_dosage
protonix,3,drug_dosage
prozac,3,drug_dosage
ramipril,3,drug_dosage
reactine,3,drug_dosage
reglan,3,drug_dosage
robaxin,3,drug_dosage
rosuvastatin,3,drug_dosage
shingrix,3,drug_dosage
simvastatin,3,drug_dosage
singulair,3,drug_dosage
spiriva,3,drug_dosage
spironolactone,3,drug_dosage
sulfacetamide,3,drug_dosage
sumatriptan,3,drug_dosage
symbicort,3,drug_dosage
synthroid,3,drug_dosage
tacrolimus,3,drug_dosage
tegretol,3,drug_dosage
toprol,3,drug_dosage
torsemide,3,drug_dosage
tramadol,3,drug_dosage
tretinoin,3,drug_dosage
triamcinolone,3,drug_dosage
tylenol,3,drug_dosage
ultram,3,drug_dosage
unithroid,3,drug_dosage
ventilin,3,drug_dosage
ventolin,3,drug_dosage
vivitrol,3,drug_dosage
wixela,3,drug_dosage
xeljanz,3,drug_dosage
zantac,3,drug_dosage
zofran,3,drug_dosage
zoloft,3,drug_dosage
zyrtec,3,drug_dosage
